filename,path,timestamp,size_bytes,size_mb,magic_at_start,magic_count,particle_record_count,min_record_length,max_record_length,mean_record_length
D_000013324_202606171037__D_000000048_202606171037.raw,data\live_rapid_e\raw\D_000013324_202606171037__D_000000048_202606171037.raw,2026-06-17T10:37:00,40388016,38.517,True,4790,4790,5448,103464,8431.74
D_000013325_202606171038__D_000000049_202606171038.raw,data\live_rapid_e\raw\D_000013325_202606171038__D_000000049_202606171038.raw,2026-06-17T10:38:00,40926312,39.03,True,4789,4789,5448,103464,8545.9
D_000013326_202606171039__D_000000050_202606171039.raw,data\live_rapid_e\raw\D_000013326_202606171039__D_000000050_202606171039.raw,2026-06-17T10:39:00,39736104,37.895,True,4789,4789,5448,103464,8297.37
D_000013327_202606171040__D_000000051_202606171040.raw,data\live_rapid_e\raw\D_000013327_202606171040__D_000000051_202606171040.raw,2026-06-17T10:40:00,40602792,38.722,True,4789,4789,5448,103464,8478.34
D_000013434_202606171227__D_000000158_202606171227.raw,data\live_rapid_e\raw\D_000013434_202606171227__D_000000158_202606171227.raw,2026-06-17T12:27:00,41976528,40.032,True,4786,4786,5448,103464,8770.69
D_000013435_202606171228__D_000000159_202606171228.raw,data\live_rapid_e\raw\D_000013435_202606171228__D_000000159_202606171228.raw,2026-06-17T12:28:00,43290384,41.285,True,4786,4786,5448,103464,9045.21
D_000013436_202606171229__D_000000160_202606171229.raw,data\live_rapid_e\raw\D_000013436_202606171229__D_000000160_202606171229.raw,2026-06-17T12:29:00,42453264,40.487,True,4786,4786,5448,103464,8870.3
D_000013437_202606171230__D_000000161_202606171230.raw,data\live_rapid_e\raw\D_000013437_202606171230__D_000000161_202606171230.raw,2026-06-17T12:30:00,40256616,38.392,True,4785,4785,5448,103464,8413.09
